Status,Target date,Channel,Pillar,Concept / hook,Persona,Destination,Dest status,Asset,Notes / caveat
Approved,,Pinterest+IG+TikTok,Hype/culture,The small bag is the flex (Drip Too Hard),Maya / viral,https://www.luxurycatalog.com/articles/does-a-smaller-bag-cost-more,Live,Script + Lady Dior chart done,Outro A locked; her on-camera for TikTok
Approved,,Pinterest+IG,Price/compare,Birkin or Kelly? How to actually choose,Sofia / Maya,https://www.luxurycatalog.com/articles/birkin-vs-kelly-which-hermes-bag,Live,Data-viz hero ready,"Sourced June 2026, asking not sold"
Drafted,,Pinterest+IG,Fit/compare,Hermes Kelly sizes by the numbers,Diane / Maya,https://www.luxurycatalog.com/bag/215,Live,Hero ready,Deprioritized: cm trick too obvious
Idea,,TikTok+IG,Modern-use (flagship),Report card: what luxury bags get wrong about real life,Maya / Jordan,(gap: build flagship article) interim /quiz,Gap,Type-led or stills,THE ownable thesis; series anchor
Idea,,TikTok+IG,Modern-use,Fendi Peekaboo: the best-designed bag you are sleeping on,Maya,Fendi brand / Peekaboo bag page (resolve id),Route,Peekaboo + ostrich stills ready,Verify bar/divider/lock mechanics
Drafted,,Pinterest+IG+TikTok,Rent / first-buy,Rent first,Sofia / Maya,https://www.luxurycatalog.com/articles/should-you-rent-or-buy-a-designer-bag,Live,Script done; needs a rent/buy card visual,Promotes Vivrelle rental affiliate (closest-to-money)
Approved,,TikTok+IG+Pinterest,Thrift wedge,What a Coach Tabby actually sells for,Jordan / Sofia,https://www.luxurycatalog.com/articles/what-a-coach-tabby-actually-sells-for,Live,Script done; needs asking-vs-sold chart,Buyer-side honest-money + the wedge
Idea,,TikTok+IG,Authentication,Real or fake Coach in 10 seconds,Jordan / Sofia,https://www.luxurycatalog.com/articles/how-to-authenticate-a-coach-bag,Live,Schematic or photo,Auth-standard gate
Drafted,,Pinterest+IG,Honest money,The investment that wasn't (emerald green),Sofia / Maya,https://www.luxurycatalog.com/articles/are-designer-bags-a-good-investment,Live,,Behavior not market; estimate-not-appraisal
Idea,,TikTok+IG,Myth-bust,Quality went down (imperfect is not fake),Jordan / Sofia,https://www.luxurycatalog.com/articles/caviar-vs-lambskin-chanel-flap,Route,Cite Je Suis Lou video,"Collector sentiment, not data; auth-gate"
Idea,,TikTok+IG,Myth-bust,The logo-match myth,Jordan / Sofia,https://www.luxurycatalog.com/articles/how-to-authenticate-a-louis-vuitton-bag,Route,Verify + auth-gate,A myth to stop relying on
Idea,,Pinterest+IG,Hot take,Most slept-on: Hermes 24/24,Maya,https://www.luxurycatalog.com/brand/4,Route,Her 24/24 stills,Underrated pick
Drafted,,Pinterest+IG,Hot take,"Classic Flap overrated (my take, no hate)",Maya,https://www.luxurycatalog.com/articles/is-the-chanel-classic-flap-worth-it,Live,/bag/199,Spicy but on-voice
Idea,,IG+Pinterest,Quiet luxury,"Quiet logo, not no logo",Maya,(gap: build article),Gap,,Fresh contrarian take
Idea,,Pinterest+IG,Care / storage,Storage > leather care (how to store your bags),Maya / Sofia,(gap: build article),Gap,,Evergreen Pinterest; source leather pros
Idea,,Pinterest+IG,Care,Stop over-caring your leather,Sofia,https://www.luxurycatalog.com/articles/caviar-vs-lambskin-chanel-flap,Route,,Source leather pros first
Idea,,Pinterest+IG,Hype/reality,Vintage Chanel: classic cool girl vs classic mom-ing it,Maya,https://www.luxurycatalog.com/articles/caviar-vs-lambskin-chanel-flap,Live,,Her take
Drafted,,IG+TikTok,Subculture,The Chanel resale trust economy + the blank-slip tell,Jordan / Sofia,https://www.luxurycatalog.com/articles/red-flags-spotting-a-fake-or-scam-resale-listing,Live,,Verify the slip practice
Idea,,IG+TikTok,Buying framework,The only 3 bags I actually need (rebuild rules),Maya / Sofia,https://www.luxurycatalog.com/quiz,Live,,Funnels to the taste quiz
Idea,,IG+Pinterest,First-buyer,"Your first real bag? Buy for lifestyle, not looks",Sofia,https://www.luxurycatalog.com/articles/should-you-rent-or-buy-a-designer-bag,Live,,+ which-accessible-bags-hold-value
Idea,,IG+TikTok,Engagement,Build my dream bag (Frankenbag) + what would YOU fix?,Maya,https://www.luxurycatalog.com/quiz,Live,,UGC + taste-graph fuel
Idea,,IG+TikTok,Story,"I held a $300,000 bag and shook like a leaf",Maya,https://www.luxurycatalog.com/identify,Route,Her footage,Founder persona; exotic-leather awe
Idea,,IG+TikTok,Story,I accidentally bought a bag from a celebrity,Maya / Jordan,https://www.luxurycatalog.com/articles/red-flags-spotting-a-fake-or-scam-resale-listing,Route,,Resale subculture
Idea,,IG,Founder,Why this site exists (the founder arc),Maya,https://www.luxurycatalog.com,Live,,Use when ready; hers to tell
Idea,,IG+TikTok,Cultural,Why won't they give us feet? (+ Southern folklore),Maya / Jordan,(gap: build article),Gap,Research folklore,Personal + cultural + practical
Approved,,TikTok+IG+Pinterest,Honest money / authority,Chanel vs Hermès: opposite ways to hold value,Maya / Diane,https://www.luxurycatalog.com/articles/are-designer-bags-a-good-investment,Route (gap: dedicated article),Script + new-vs-resale chart done,"Sourced retail history + Rebag; interim route to investment article"
